+------+-----------------------------+------+------+------+
| step |             data            | h(n) | g(n) | f(n) |
+------+-----------------------------+------+------+------+
|  1   | [1, 2, 3, 0, 4, 5, 6, 7, 8] |  24  |  1   |  25  |
|  2   | [0, 2, 3, 1, 4, 5, 6, 7, 8] |  24  |  2   |  26  |
|  3   | [2, 0, 3, 1, 4, 5, 6, 7, 8] |  24  |  3   |  27  |
|  4   | [2, 3, 0, 1, 4, 5, 6, 7, 8] |  24  |  4   |  28  |
|  5   | [2, 3, 5, 1, 4, 0, 6, 7, 8] |  24  |  5   |  29  |
|  6   | [2, 3, 5, 1, 0, 4, 6, 7, 8] |  22  |  6   |  28  |
|  7   | [2, 3, 5, 0, 1, 4, 6, 7, 8] |  22  |  7   |  29  |
|  8   | [0, 3, 5, 2, 1, 4, 6, 7, 8] |  22  |  8   |  30  |
|  9   | [3, 0, 5, 2, 1, 4, 6, 7, 8] |  20  |  9   |  29  |
|  10  | [3, 5, 0, 2, 1, 4, 6, 7, 8] |  20  |  10  |  30  |
|  11  | [3, 5, 4, 2, 1, 0, 6, 7, 8] |  20  |  11  |  31  |
|  12  | [3, 5, 4, 2, 0, 1, 6, 7, 8] |  18  |  12  |  30  |
|  13  | [3, 5, 4, 0, 2, 1, 6, 7, 8] |  18  |  13  |  31  |
|  14  | [0, 5, 4, 3, 2, 1, 6, 7, 8] |  18  |  14  |  32  |
|  15  | [5, 0, 4, 3, 2, 1, 6, 7, 8] |  16  |  15  |  31  |
|  16  | [5, 2, 4, 3, 0, 1, 6, 7, 8] |  16  |  16  |  32  |
|  17  | [5, 2, 4, 3, 7, 1, 6, 0, 8] |  16  |  17  |  33  |
|  18  | [5, 2, 4, 3, 7, 1, 0, 6, 8] |  16  |  18  |  34  |
|  19  | [5, 2, 4, 0, 7, 1, 3, 6, 8] |  14  |  19  |  33  |
|  20  | [0, 2, 4, 5, 7, 1, 3, 6, 8] |  14  |  20  |  34  |
|  21  | [2, 0, 4, 5, 7, 1, 3, 6, 8] |  14  |  21  |  35  |
|  22  | [2, 7, 4, 5, 0, 1, 3, 6, 8] |  12  |  22  |  34  |
|  23  | [2, 7, 4, 5, 6, 1, 3, 0, 8] |  12  |  23  |  35  |
|  24  | [2, 7, 4, 5, 6, 1, 3, 8, 0] |  12  |  24  |  36  |
|  25  | [2, 7, 4, 5, 6, 0, 3, 8, 1] |  10  |  25  |  35  |
|  26  | [2, 7, 4, 5, 0, 6, 3, 8, 1] |  8   |  26  |  34  |
|  27  | [2, 7, 4, 5, 8, 6, 3, 0, 1] |  8   |  27  |  35  |
|  28  | [2, 7, 4, 5, 8, 6, 0, 3, 1] |  10  |  28  |  38  |
|  29  | [2, 7, 4, 0, 8, 6, 5, 3, 1] |  10  |  29  |  39  |
|  30  | [2, 7, 4, 8, 0, 6, 5, 3, 1] |  8   |  30  |  38  |
|  31  | [0, 7, 4, 2, 8, 6, 5, 3, 1] |  10  |  30  |  40  |
|  32  | [7, 0, 4, 2, 8, 6, 5, 3, 1] |  10  |  31  |  41  |
|  33  | [7, 8, 4, 2, 0, 6, 5, 3, 1] |  8   |  32  |  40  |
|  34  | [7, 8, 4, 0, 2, 6, 5, 3, 1] |  8   |  33  |  41  |
|  35  | [7, 8, 4, 5, 2, 6, 0, 3, 1] |  8   |  34  |  42  |
|  36  | [7, 8, 4, 5, 2, 6, 3, 0, 1] |  6   |  35  |  41  |
|  37  | [7, 8, 4, 5, 0, 6, 3, 2, 1] |  4   |  36  |  40  |
|  38  | [7, 0, 4, 5, 8, 6, 3, 2, 1] |  6   |  37  |  43  |
|  39  | [7, 4, 0, 5, 8, 6, 3, 2, 1] |  8   |  38  |  46  |
|  40  | [7, 4, 6, 5, 8, 0, 3, 2, 1] |  6   |  39  |  45  |
|  41  | [7, 4, 6, 5, 0, 8, 3, 2, 1] |  6   |  40  |  46  |
|  42  | [7, 0, 6, 5, 4, 8, 3, 2, 1] |  6   |  41  |  47  |
|  43  | [0, 7, 6, 5, 4, 8, 3, 2, 1] |  6   |  42  |  48  |
|  44  | [5, 7, 6, 0, 4, 8, 3, 2, 1] |  6   |  43  |  49  |
|  45  | [5, 7, 6, 4, 0, 8, 3, 2, 1] |  6   |  44  |  50  |
|  46  | [5, 7, 6, 4, 8, 0, 3, 2, 1] |  6   |  45  |  51  |
|  47  | [5, 7, 0, 4, 8, 6, 3, 2, 1] |  8   |  46  |  54  |
|  48  | [5, 0, 7, 4, 8, 6, 3, 2, 1] |  8   |  47  |  55  |
|  49  | [5, 8, 7, 4, 0, 6, 3, 2, 1] |  6   |  48  |  54  |
|  50  | [5, 8, 7, 0, 4, 6, 3, 2, 1] |  6   |  49  |  55  |
|  51  | [0, 8, 7, 5, 4, 6, 3, 2, 1] |  6   |  50  |  56  |
|  52  | [8, 0, 7, 5, 4, 6, 3, 2, 1] |  4   |  51  |  55  |
|  53  | [8, 7, 0, 5, 4, 6, 3, 2, 1] |  4   |  52  |  56  |
|  54  | [8, 7, 6, 5, 4, 0, 3, 2, 1] |  2   |  53  |  55  |
|  55  | [8, 7, 6, 5, 0, 4, 3, 2, 1] |  0   |  54  |  54  |
+------+-----------------------------+------+------+------+ 
